50, 1977, 36, "Faye Dunaway", "Network"
51, 1978, 32, "Diane Keaton", "Annie Hall"
52, 1979, 41, "Jane Fonda", "Coming Home"
53, 1980, 33, "Sally Field", "Norma Rae"
54, 1981, 31, "Sissy Spacek", "Coal Miner's Daughter"	
55, 1982, 74, "Katharine Hepburn", "On Golden Pond"
56, 1983, 33, "Meryl Streep", "Sophie's Choice"
57, 1984, 49, "Shirley MacLaine", "Terms of Endearment"	
58, 1985, 38, "Sally Field", "Places in the Heart"
59, 1986, 61, "Geraldine Page", "The Trip to Bountiful"	
60, 1987, 21, "Marlee Matlin", "Children of a Lesser God"
61, 1988, 41, "Cher", "Moonstruck"
62, 1989, 26, "Jodie Foster", "The Accused"
63, 1990, 80, "Jessica Tandy", "Driving Miss Daisy"
64, 1991, 42, "Kathy Bates", "Misery"
65, 1992, 29, "Jodie Foster", "The Silence of the Lambs"
66, 1993, 33, "Emma Thompson", "Howards End"
67, 1994, 36, "Holly Hunter", "The Piano"
68, 1995, 45, "Jessica Lange", "Blue Sky"
69, 1996, 49, "Susan Sarandon", "Dead Man Walking"
70, 1997, 39, "Frances McDormand", "Fargo"
71, 1998, 34, "Helen Hunt", "As Good as It Gets"
72, 1999, 26, "Gwyneth Paltrow", "Shakespeare in Love"
73, 2000, 25, "Hilary Swank", "Boys Don't Cry"
74, 2001, 33, "Julia Roberts", "Erin Brockovich"
75, 2002, 35, "Halle Berry", "Monster's Ball"
76, 2003, 35, "Nicole Kidman", "The Hours"
77, 2004, 28, "Charlize Theron", "Monster"
78, 2005, 30, "Hilary Swank", "Million Dollar Baby"
79, 2006, 29, "Reese Witherspoon", "Walk the Line"
80, 2007, 61, "Helen Mirren", "The Queen"
81, 2008, 32, "Marion Cotillard", "La Vie en rose"
82, 2009, 33, "Kate Winslet", "The Reader"
83, 2010, 45, "Sandra Bullock", "The Blind Side"
84, 2011, 29, "Natalie Portman", "Black Swan"
85, 2012, 62, "Meryl Streep", "The Iron Lady"
86, 2013, 22, "Jennifer Lawrence", "Silver Linings Playbook"
87, 2014, 44, "Cate Blanchett", "Blue Jasmine"
88, 2015, 54, "Julianne Moore", "Still Alice"
89, 2016, 26, "Brie Larson", "Room"
